2016-01-03 18:52:25.0166 DEBUG ++@@62,60;	
2016-01-03 18:52:25.0356 DEBUG ++@@63,62;	
2016-01-03 18:52:25.0356 DEBUG ++@@60,63;	
2016-01-03 18:52:25.0356 DEBUG ++@@60,58;	
2016-01-03 18:52:25.0516 DEBUG ++@@60,59;	
2016-01-03 18:52:25.0516 DEBUG ++@@61,60;	
2016-01-03 18:52:25.0630 DEBUG ++@@62,61;	
2016-01-03 18:52:25.0630 DEBUG ++@@381,380;	
2016-01-03 18:52:25.0630 DEBUG ++@@412,381;	
2016-01-03 18:52:25.0630 DEBUG ++@@380,412;	
2016-01-03 18:52:25.0840 DEBUG ++@@63,380;	
2016-01-03 18:52:25.0840 DEBUG ++@@381,63;	
2016-01-03 18:52:25.0960 DEBUG ++@@381,62;	
2016-01-03 18:52:25.0960 DEBUG ++@@314,380;	
2016-01-03 18:52:25.0960 DEBUG ++@@63,314;	
2016-01-03 18:52:25.1130 DEBUG ++@@411,412;	
2016-01-03 18:52:25.1130 DEBUG ++@@345,411;	
2016-01-03 18:52:25.1130 DEBUG ++@@412,345;	
2016-01-03 18:52:25.1302 DEBUG ++@@345,323;	
2016-01-03 18:52:25.1302 DEBUG ++@@330,333;	
2016-01-03 18:52:25.1413 DEBUG ++@@384,330;	
2016-01-03 18:52:25.1413 DEBUG ++@@329,330;	
2016-01-03 18:52:25.1413 DEBUG ++@@384,329;	
2016-01-03 18:52:25.1583 DEBUG ++@@408,330;	
2016-01-03 18:52:25.1583 DEBUG ++@@329,408;	
2016-01-03 18:52:25.1583 DEBUG ++@@326,329;	
2016-01-03 18:52:25.1753 DEBUG ++@@384,326;	
2016-01-03 18:52:25.1753 DEBUG ++@@100,96;	
2016-01-03 18:52:25.1753 DEBUG ++@@95,100;	
2016-01-03 18:52:25.1913 DEBUG ++@@54,89;	
2016-01-03 18:52:25.1913 DEBUG ++@@52,54;	
2016-01-03 18:52:25.1913 DEBUG ++@@53,54;	
2016-01-03 18:52:25.2083 DEBUG ++@@52,53;	
2016-01-03 18:52:25.2083 DEBUG ++@@54,90;	
